8.71031	-20.908	-0.305213	-16.5092	-19.7439	-4.19999	-13.9675	5.17157	-1.84689	-0.0418411	11.4757	-3.45748	0.0683335	26.9423	-30.3025	-3.0606	-36.6492	-93.2018	20.3707	0.0753629	24.2584	10.7465	-0.619659
7.39036	-22.0432	-2.18892	-15.2767	-18.8588	-3.41176	-26.6537	6.06009	-2.32349	-1.3819	10.706	-3.19973	0.0772107	38.6368	-24.8861	-2.47765	-28.821	-90.749	20.2235	0.0716026	24.4411	9.64074	-0.68052
5.40191	-22.7457	-3.90017	-13.8051	-17.6474	-2.65297	-39.4971	7.02549	-2.88786	-2.53478	9.31014	-2.70533	0.0852503	49.036	-19.542	-2.06042	-21.8414	-88.9026	19.9533	0.0678263	25.1303	8.28243	-0.852218
2.70604	-23.0093	-5.43507	-12.1517	-16.1419	-1.94422	-52.2628	8.02454	-3.53219	-3.38831	7.31849	-1.96454	0.0923128	57.8014	-14.3998	-1.81422	-15.9448	-87.8257	19.5447	0.0639826	26.3703	6.63798	-1.13323
-0.728435	-22.8386	-6.80354	-10.3856	-14.3812	-1.30111	-64.7601	9.01117	-4.23809	-3.84189	4.78769	-0.979569	0.098286	64.6718	-9.5791	-1.73558	-11.3132	-87.6267	18.9836	0.0600456	28.1902	4.67877	-1.51859
-4.89702	-22.2581	-8.02331	-8.57062	-12.4071	-0.732027	-76.8041	9.93163	-4.9764	-3.79667	1.79713	0.234327	0.103085	69.464	-5.18449	-1.81139	-8.0693	-88.3479	18.2623	0.0560038	30.5924	2.38624	-1.99778
-9.75181	-21.3112	-9.11815	-6.76357	-10.2651	-0.237764	-88.2221	10.7291	-5.70851	-3.16317	-1.55745	1.64883	0.106654	72.0878	-1.29905	-2.01915	-6.26476	-89.9552	17.3786	0.0518741	33.5511	-0.244557	-2.55676
-15.1981	-20.0551	-10.1162	-5.01247	-8.00407	0.187988	-98.8586	11.3476	-6.38919	-1.8648	-5.16742	3.22326	0.10897	72.5522	2.02012	-2.32813	-5.87594	-92.337	16.3359	0.0477132	37.0138	-3.20311	-3.18045
-21.0999	-18.5606	-11.0464	-3.35825	-5.67521	0.557421	-108.581	11.7338	-6.96843	0.154672	-8.92046	4.90695	0.110036	70.964	4.74323	-2.70042	-6.80348	-95.3058	15.1448	0.0436062	40.903	-6.46448	-3.8524
-27.2851	-16.906	-11.9362	-1.83336	-3.33007	0.885922	-117.283	11.8369	-7.39433	2.9301	-12.7035	6.64189	0.109885	67.5224	6.86403	-3.09369	-8.87656	-98.6075	13.8214	0.0396537	45.1186	-9.99287	-4.55427
-33.556	-15.1759	-12.8079	-0.461934	-1.01989	1.18966	-124.886	11.6136	-7.61644	6.46999	-16.4111	8.36655	0.108574	62.5063	8.40495	-3.46325	-11.8633	-101.936	12.3889	0.0359733	49.5433	-13.7399	-5.26699
-39.9054	-13.4696	-13.6401	0.616199	1.23037	1.49285	-131.278	11.0207	-7.58818	10.7832	-19.9486	10.0198	0.106161	55.981	9.39228	-3.76572	-15.5966	-104.956	10.873	0.0327965	54.067	-17.6416	-5.9797
-46.4992	-11.9008	-14.3695	1.15169	3.41515	1.82836	-136.326	10.0201	-7.27077	15.8705	-23.2362	11.5449	0.10271	47.838	9.85885	-3.96195	-19.9503	-107.323	9.30505	0.0303756	58.5826	-21.6215	-6.68832
-52.8323	-10.5238	-15.0457	1.30945	5.44846	2.19307	-140.15	8.61795	-6.64119	21.6193	-26.2114	12.8922	0.0983643	38.9027	9.92228	-4.02072	-24.4295	-108.71	7.72173	0.0286224	62.9191	-25.612	-7.36638
-58.7281	-9.40283	-15.6561	1.07151	7.28699	2.59275	-142.789	6.81665	-5.68713	27.9342	-28.8314	14.0222	0.0932632	29.5776	9.67401	-3.92094	-28.7213	-108.826	6.16081	0.0275765	66.9448	-29.5397	-8.00169
-64.0201	-8.58708	-16.1833	0.435219	8.89087	3.02478	-144.304	4.6319	-4.41059	34.7027	-31.069	14.9075	0.0875627	20.2633	9.21179	-3.65325	-32.5332	-107.447	4.66406	0.0272239	70.54	-33.3326	-8.58398
-68.5616	-8.10812	-16.6086	-0.584306	10.2251	3.47907	-144.792	2.09297	-2.82716	41.7906	-32.9178	15.5338	0.0814297	11.3488	8.63136	-3.22153	-35.6032	-104.422	3.27224	0.0275093	73.6034	-36.9251	-9.10554
-71.3043	-7.88511	-17.0954	-1.36921	11.169	3.88398	-144.674	-0.71192	-0.971771	48.9359	-34.3865	15.8989	0.0751088	4.42698	8.12316	-2.64447	-37.2532	-99.6749	2.02821	0.0282541	75.9725	-40.2825	-9.52602
-72.4576	-7.92041	-17.5839	-2.0257	11.7506	4.22562	-143.96	-3.7568	1.12084	56.0388	-35.497	16.0131	0.0687646	-0.646855	7.70974	-1.94866	-37.5255	-93.236	0.968665	0.0296738	77.6393	-43.3525	-9.85926
-72.4264	-8.21859	-17.9827	-2.76318	12.0148	4.49868	-142.627	-7.01315	3.40675	63.0136	-36.2814	15.8968	0.0625372	-4.26171	7.38028	-1.16897	-36.5769	-85.2345	0.125214	0.0318377	78.6219	-46.0886	-10.1251
-71.2834	-8.73164	-18.2771	-3.55476	11.9771	4.67431	-140.789	-10.4276	5.83254	69.7265	-36.7806	15.5784	0.0565826	-6.36453	7.14472	-0.346715	-34.4353	-75.8808	-0.477121	0.0347106	78.9262	-48.4641	-10.3298
