0.01	1.00424	-6.88849	-13.4474	-1.83594	-0.823663	33.9382	-0.890627	40.9698	3.20425	-4.39141	-14.8737	52.0289	-0.00089241	1.5245	42.2712	-18.736	-2.33502	-6.16536	34.5878	-0.000495923	0.527473	0.337514	-0.073756
0.015	-0.00467339	-10.5815	-14.6934	0.00762126	0.00408433	26.4902	-1.80277	38.6041	2.02813	-4.3357	-13.7827	48.1661	-5.36561e-05	2.3455	43.3158	-19.5564	-2.26328	-6.86901	38.2098	-5.8251e-05	-0.00153808	-0.000887538	0.000243772
0.02	-0.000538284	-13.5	-15.4286	0.000429454	0.000652618	19.4777	-1.78251	36.2792	0.94569	-4.01131	-12.6484	44.1222	-2.50439e-05	2.52868	44.04	-20.285	-2.23907	-7.56278	41.7399	-4.52743e-05	0.000178404	0.000269467	-3.91875e-06
0.025	0.0015902	-16.2025	-15.9142	0.00314536	0.000383861	12.2333	-1.7394	33.7234	-0.0142674	-3.67197	-11.4725	39.9554	6.66406e-06	2.69648	44.3722	-20.8834	-2.19469	-8.23021	45.1387	-3.18023e-05	-0.000170594	0.000106188	5.29996e-05
0.03	0.00248115	-18.6472	-16.1444	0.00366637	0.000300673	4.8466	-1.67439	30.9998	-0.829788	-3.32267	-10.2749	35.7416	4.06232e-05	2.84344	44.3331	-21.3484	-2.13573	-8.86639	48.3747	-1.74079e-05	-0.000490474	-4.56302e-05	0.000101948
0.035	0.00110761	-20.7991	-16.1243	0.00100237	0.000589445	-2.59337	-1.59129	28.1759	-1.48466	-2.96998	-9.07686	31.5571	7.28056e-05	2.96761	43.9517	-21.6795	-2.06768	-9.46814	51.4226	-1.07136e-06	-0.000856274	-0.000218384	0.000144879
0.04	0.00155776	-22.6296	-15.8685	0.0010506	0.000600261	-9.99703	-1.49055	25.3223	-1.97002	-2.61894	-7.90016	27.4751	9.76564e-05	3.06795	43.265	-21.8788	-1.99596	-10.0342	54.2643	1.22594e-05	-0.00115085	-0.00040686	0.000185165
0.045	0.00202568	-24.1193	-15.4021	0.00113561	0.00044628	-17.2769	-1.37817	22.5086	-2.28488	-2.2765	-6.76588	23.5633	0.000117306	3.14424	42.3166	-21.9519	-1.92556	-10.5645	56.8888	2.6414e-05	-0.00141381	-0.000558513	0.00022027
0.05	0.00242758	-25.2601	-14.7577	0.0011499	0.00036545	-24.3489	-1.25915	19.8	-2.43617	-1.94906	-5.6936	19.8817	0.000128403	3.19731	41.1554	-21.9072	-1.86095	-11.0607	59.2925	3.85652e-05	-0.00163633	-0.000696684	0.000251045
0.055	0.00275836	-26.0564	-13.9743	0.00108589	4.52194e-05	-31.1346	-1.13829	17.2535	-2.43848	-1.64229	-4.70025	16.4805	0.000131342	3.22877	39.8342	-21.7557	-1.80592	-11.5252	61.4781	4.74067e-05	-0.0018002	-0.000819409	0.000276625
0.06	0.00281938	-26.5248	-13.0939	0.00105504	0.000155649	-37.5626	-1.02036	14.9156	-2.31294	-1.36118	-3.79955	13.3986	0.000124187	3.24111	38.406	-21.511	-1.7633	-11.9611	63.4531	5.56863e-05	-0.00188992	-0.000934211	0.000295156
0.065	0.00288952	-26.6948	-12.1602	0.00100534	9.08074e-05	-43.5699	-0.909141	12.8196	-2.0859	-1.10926	-3.00115	10.663	0.000108961	3.23763	36.924	-21.1882	-1.73508	-12.3719	65.2294	6.43868e-05	-0.00194686	-0.00100553	0.000313056
